الاسم,الصورة,المادة المرتبطة,الملاحظات,السعر,group
alcohol sanitizer& معقم كحولي& سينيتايزر,%D9%83%D9%84%20%D8%A7%D9%84%D8%A7%D8%AF%D9%88%D8%A7%D8%AA%20248252c80c4a8043a481d2af4c018354/46wTguY93PfR9JT0ErJsBM6aFsvoZvjijJ83HeQA.jpeg,"operative (https://www.notion.so/operative-248252c80c4a8029aa30ca81059e411d?pvs=21), oral surgery (https://www.notion.so/oral-surgery-248252c80c4a805fae3dcd383d124f68?pvs=21), periodontology (https://www.notion.so/periodontology-248252c80c4a80b4aa8af607072c702f?pvs=21), prosthodontics (https://www.notion.so/prosthodontics-248252c80c4a8013af78c494631ea702?pvs=21)",هيج علساس تعقم ايدك وكذا,,الشغلات المزعجة
gown& ثوب& كاون,%D9%83%D9%84%20%D8%A7%D9%84%D8%A7%D8%AF%D9%88%D8%A7%D8%AA%20248252c80c4a8043a481d2af4c018354/20250814_211345.jpg,"operative (https://www.notion.so/operative-248252c80c4a8029aa30ca81059e411d?pvs=21), periodontology (https://www.notion.so/periodontology-248252c80c4a80b4aa8af607072c702f?pvs=21)",علمود لتوصخ نفسك اجباري بالاوبرتف و البريو او التنظيف,,الشغلات المزعجة
saliva ejector& ساحب اللعاب& سلايفا ايجكتر,%D9%83%D9%84%20%D8%A7%D9%84%D8%A7%D8%AF%D9%88%D8%A7%D8%AA%20248252c80c4a8043a481d2af4c018354/20250814_212048.jpg,operative (https://www.notion.so/operative-248252c80c4a8029aa30ca81059e411d?pvs=21)," هذا يسحب االلعاب من فم المريض اثناء الحشوة وبلاش ينطوه العيادة",free,
cotton roll& لفافة قطنية& كوتن رول,%D9%83%D9%84%20%D8%A7%D9%84%D8%A7%D8%AF%D9%88%D8%A7%D8%AA%20248252c80c4a8043a481d2af4c018354/20250814_212106.jpg,"operative (https://www.notion.so/operative-248252c80c4a8029aa30ca81059e411d?pvs=21), oral surgery (https://www.notion.so/oral-surgery-248252c80c4a805fae3dcd383d124f68?pvs=21), periodontology (https://www.notion.so/periodontology-248252c80c4a80b4aa8af607072c702f?pvs=21)","نحتاجه اثناء الحشوة ",,
face shield@ درع الوجه& فيس شيلد,%D9%83%D9%84%20%D8%A7%D9%84%D8%A7%D8%AF%D9%88%D8%A7%D8%AA%20248252c80c4a8043a481d2af4c018354/20250814_231311.jpg,"operative (https://www.notion.so/operative-248252c80c4a8029aa30ca81059e411d?pvs=21), periodontology (https://www.notion.so/periodontology-248252c80c4a80b4aa8af607072c702f?pvs=21)",نحتاجه علمود ليطفر البومس او ماي التورباين عليك,,الشغلات المزعجة
"cup & كلاص ",%D9%83%D9%84%20%D8%A7%D9%84%D8%A7%D8%AF%D9%88%D8%A7%D8%AA%20248252c80c4a8043a481d2af4c018354/20250814_231609.jpg,"operative (https://www.notion.so/operative-248252c80c4a8029aa30ca81059e411d?pvs=21), periodontology (https://www.notion.so/periodontology-248252c80c4a80b4aa8af607072c702f?pvs=21), oral surgery (https://www.notion.so/oral-surgery-248252c80c4a805fae3dcd383d124f68?pvs=21)",نحتاجه بهذي العيادات علمود يتمضمض بيها البيشنت,,الشغلات المزعجة
Cartridge or carpule& كارتدج او كاربولة,%D9%83%D9%84%20%D8%A7%D9%84%D8%A7%D8%AF%D9%88%D8%A7%D8%AA%20248252c80c4a8043a481d2af4c018354/1211.png,"oral surgery (https://www.notion.so/oral-surgery-248252c80c4a805fae3dcd383d124f68?pvs=21), operative (https://www.notion.so/operative-248252c80c4a8029aa30ca81059e411d?pvs=21)",بيها لون احمر الاكثر شيوعا نستخدمه مع السيرنج للتخدير,,التخدير
long Needle& ابرة& نيدل,%D9%83%D9%84%20%D8%A7%D9%84%D8%A7%D8%AF%D9%88%D8%A7%D8%AA%20248252c80c4a8043a481d2af4c018354/0001.png,"operative (https://www.notion.so/operative-248252c80c4a8029aa30ca81059e411d?pvs=21), oral surgery (https://www.notion.so/oral-surgery-248252c80c4a805fae3dcd383d124f68?pvs=21)",بيها لون اصفر و الازرق يمثل سمك الابرة,,التخدير
amalgam condenser& ضاغط الاملغم& املغم كوندينسر,"%D9%83%D9%84%20%D8%A7%D9%84%D8%A7%D8%AF%D9%88%D8%A7%D8%AA%20248252c80c4a8043a481d2af4c018354/Picsart_25-08-15_19-20-36-817.jpg, %D9%83%D9%84%20%D8%A7%D9%84%D8%A7%D8%AF%D9%88%D8%A7%D8%AA%20248252c80c4a8043a481d2af4c018354/20250815_192219.jpg",operative (https://www.notion.so/operative-248252c80c4a8029aa30ca81059e411d?pvs=21),نهايتها مسطحة تضغط بيها الاملغم بالكافتي علمود توزعها بالبداية,,amalgam instruments
amalgam carrier& حامل الاملغم& املغم كارير,%D9%83%D9%84%20%D8%A7%D9%84%D8%A7%D8%AF%D9%88%D8%A7%D8%AA%20248252c80c4a8043a481d2af4c018354/Picsart_25-08-15_19-24-15-404.jpg,operative (https://www.notion.so/operative-248252c80c4a8029aa30ca81059e411d?pvs=21),تشيل حشوة الاملغم من الجار علمود تحطها بالكافتي,,amalgam instruments
